title,platform,genre,metascore,userscore,rating,developer
Child of Light,Xbox One,Action,82,7.6,E10+,Ubisoft Montreal
Chivalry: Medieval Warfare,Xbox One,Action,51,4.7,M,Torn Banner Studios
Claire: Extended Cut,Xbox One,Adventure,67,tbd,M,Hailstorm Games Inc
Clash,Xbox One,Action,No score yet,4.2,E,FennecFox Entertainment
Clockwork Tales: Of Glass and Ink,Xbox One,Puzzle,70,tbd,T,Artifex Mundi
ClusterPuck99,Xbox One,Sports,No score yet,tbd,E,PHL Collective
ClusterTruck,Xbox One,Action,No score yet,tbd,,tinyBuild
Cobalt,Xbox One,Action,66,7.6,E10+,Oxeye
Coffin Dodgers,Xbox One,Racing,46,3.4,T,Milky Tea Studios
Color Symphony 2,Xbox One,Puzzle,No score yet,tbd,E10+,REMIMORY
Commander Cherry's Puzzled Journey,Xbox One,Puzzle,No score yet,tbd,E,Grande Games
Contrast,Xbox One,Miscellaneous,No score yet,6.3,T,Compulsion Games
Costume Quest 2,Xbox One,Role-Playing,65,6.8,E10+,Double Fine Productions
Crimson Dragon,Xbox One,Action,55,6.5,T,Grounding Inc.
Crimsonland,Xbox One,Action,69,6.8,T,10tons Entertainment
Cubikolor,Xbox One,Puzzle,No score yet,6.0,E,Moving Player
Cubot - The Complexity of Simplicity,Xbox One,Puzzle,68,7.3,E,NicoplvGames
D/Generation HD,Xbox One,Puzzle,64,tbd,E10+,West Coast Software
D4: Dark Dreams Don't Die,Xbox One,Action,76,7.3,M,Access Games
Dad Beat Dads,Xbox One,Action,No score yet,tbd,T,Stellar Jay Studios
Dance Central Spotlight,Xbox One,Action,74,7.0,T,Harmonix Music Systems
Dangerous Golf,Xbox One,Sports,63,4.9,E,Three Fields Entertainment
Dark Souls II: Scholar of the First Sin,Xbox One,Role-Playing,89,7.7,T,From Software
Dark Souls III,Xbox One,Role-Playing,87,8.5,,From Software
Dark Souls III: Ashes of Ariandel,Xbox One,Role-Playing,No score yet,6.1,M,From Software
Darksiders II: Deathinitive Edition,Xbox One,Action Adventure,75,6.9,M,Gunfire Games
Darksiders: Warmastered Edition,Xbox One,Action Adventure,No score yet,,M,Nordic Games Publishing
DC Universe Online,Xbox One,Role-Playing,No score yet,6.2,T,WBIE
Dead Island: Definitive Collection,Xbox One,Miscellaneous,67,4.9,M,Techland
Dead Island: Retro Revenge,Xbox One,Action,No score yet,tbd,M,Techland
Dead Island: Riptide - Definitive Edition,Xbox One,Action,No score yet,tbd,M,Techland
Dead or Alive 5: Last Round,Xbox One,Action,69,6.4,M,Team Ninja
Dead Rising,Xbox One,Action Adventure,No score yet,9.5,M,Capcom
Dead Rising 2,Xbox One,Action Adventure,No score yet,tbd,M,Blue Castle Games
Dead Rising 2: Off the Record,Xbox One,Action Adventure,No score yet,tbd,M,Capcom Vancouver
Dead Rising 3,Xbox One,Action,78,6.8,M,Capcom Vancouver
