title,platform,link
ClusterTruck,xbox,http://static.metacritic.com/images/products/games/5/1d68f1a70175639258ad132717e2edf6-98.jpg
Cobalt,xbox,http://static.metacritic.com/images/products/games/3/40633de2389ea3f16adf793da746a2f5-98.jpg
Coffin Dodgers,xbox,http://static.metacritic.com/images/products/games/4/0ad86f785b0c2bf44e5ade1751ac91ce-98.jpg
Color Symphony 2,xbox,http://static.metacritic.com/images/products/games/4/1a36538fe497b5ebf00b0ad6950e4de6-98.jpg
Commander Cherry's Puzzled Journey,xbox,http://static.metacritic.com/images/products/games/5/57dfa15cf1184634580e79b4c83fef50-98.jpg
Contrast,xbox,http://static.metacritic.com/images/products/games/4/71eccf0293c60cfd7bdf0597c61b6fa5-98.jpg
Costume Quest 2,xbox,http://static.metacritic.com/images/products/games/0/a0b3f3a21bd7a62945082cb7289cf238-98.jpg
Crimson Dragon,xbox,http://static.metacritic.com/images/products/games/2/06468eff8dc435cfb2697594b9aa24ed-98.jpg
Crimsonland,xbox,http://static.metacritic.com/images/products/games/0/909903aa7a273a729779f66073cb12ef-98.jpg
Cubikolor,xbox,http://static.metacritic.com/images/products/games/2/0ed038fea50065707d19f247374470f0-98.jpg
Cubot - The Complexity of Simplicity,xbox,http://static.metacritic.com/images/products/games/5/280c7b193288bd72ac54ef30b1a0148f-98.jpg
D/Generation HD,xbox,http://static.metacritic.com/images/products/games/0/623ebbd8950250e845dd11bb029f5c1e-98.jpg
